ID;Company Name;URL;Address;ZIP;Market
1;2K Games;;;;
2;3M Company;;;;
3;4Kids Entertainment;;;;
4;a21;;;;
5;Aaron's, Inc.;;;;
6;Abbott Laboratories;;;;
7;Abercrombie & Fitch;;;;
8;ABM Industries;;;;
9;ABX Air;;;;
10;AC Lens;;;;
11;ACCO Brands;;;;
12;Accuquote;;;;
13;Ace Hardware;;;;
14;Acme Brick Company;;;;
15;ACN Inc.;;;;
16;Activision Blizzard;;;;
17;Acuity Brands;;;;
18;ADC Telecommunications;;;;
19;Adaptec;;;;
20;Adobe Systems Inc.;;;;
21;Advance Auto Parts;;;;
22;Advanced Micro Devices;;;;
23;Advanced Processing & Imaging;;;;
24;AECOM;;;;
25;Aéropostale;;;;
26;AES Corporation;;;;
27;Aetna;;;;
28;Affiliated Computer Services;;;;
29;Aflac;;;;
30;AGCO;;;;
31;Agilent Technologies;;;;
32;AGL Resources;;;;
33;Agriprocessors;;;;
34;Air Products & Chemicals;;;;
35;Airgas;;;;
36;AirTran Holdings;;;;
37;AK Steel Holding;;;;
38;Alaska Air Group;;;;
39;Albemarle Corporation;;;;
40;Albertsons LLC;;;;
41;Alcoa;;;;
42;Aleris International;;;;
43;Alexander & Baldwin;;;;
44;Alienware;;;;
45;Allegheny Energy;;;;
46;Allegheny Technologies;;;;
47;Allen Organ Company;;;;
48;Allergan;;;;
49;Alliant Energy;;;;
50;Alliant Techsystems;;;;
51;Allstate;;;;
52;Aloha Airlines;;;;
53;Altec Lansing;;;;
54;Altria Group (formerly Philip Morris Companies);;;;
55;Always (product);;;;
56;Amazon.com;;;;
57;AMC Entertainment;;;;
58;Advanced Micro Devices;;;;
59;Ameren;;;;
60;America Online;;;;
61;American Axle;;;;
62;American Apparel;;;;
63;American Broadcasting Company;;;;
64;American Eagle Outfitters;;;;
65;American Electric Power;;;;
66;American Express;;;;
67;American Family Insurance;;;;
68;American Financial Group;;;;
69;American Greetings;;;;
70;American Home Mortgage;;;;
71;American International Group;;;;
72;American Reprographics Company;;;;
73;Amerigroup;;;;
74;Ameriprise Financial;;;;
75;AmerisourceBergen;;;;
76;AMETEK;;;;
77;Amgen;;;;
78;Amkor Technology;;;;
79;Amphenol Corporation;;;;
80;AMR Corporation;;;;
81;American Airlines;;;;
82;Amtrak (National Railroad Passenger Corporation);;;;
83;Amy's Kitchen;;;;
84;Anadarko Petroleum Corporation;;;;
85;Analog Devices;;;;
86;AnaSpec;;;;
87;Anchor Bay Entertainment;;;;
88;AND1;;;;
89;Anixter International;;;;
90;Ann Taylor;;;;
91;Antec;;;;
92;AOL;;;;
93;Aon Corporation;;;;
94;Apache Software Foundation;;;;
95;Apollo Group;;;;
96;Applebee's;;;;
97;Apple Inc.;;;;
98;Applied Biosystems;;;;
99;Applied Industrial Technologies;;;;
100;Applied Materials;;;;
101;Aramark;;;;
102;Arbitron;;;;
103;Arch Coal;;;;
104;Archer Daniels Midland;;;;
105;Arctic Cat;;;;
106;Ariba;;;;
107;Arizona Stock Exchange;;;;
108;Arkeia Software;;;;
109;Armstrong World Industries;;;;
110;Arrow Electronics;;;;
111;Arryx;;;;
112;ArvinMeritor;;;;
113;ASARCO (American Smelting And Refining Company);;;;
114;Asbury Automotive Group;;;;
115;Ashland Inc.;;;;
116;AskMeNow;;;;
117;Aspyr Media;;;;
118;Assurant;;;;
119;Atmos Energy;;;;
120;AT&T;;;;
121;Audiovox;;;;
122;Atari;;;;
123;Autodesk;;;;
124;Autoliv;;;;
125;Automatic Data Processing;;;;
126;AutoNation;;;;
127;Auto-Owners Insurance;;;;
128;AutoZone;;;;
129;Avaya;;;;
130;Avery Dennison;;;;
131;Avis Budget Group;;;;
132;Avnet;;;;
133;Avon Products;;;;
134;AVST;;;;
135;Babcock and Wilcox;;;;
136;Bain & Company;;;;
137;Bain Capital;;;;
138;Baker Hughes;;;;
139;Baldor Electric Company;;;;
140;Ball Corp.;;;;
141;Bank of America;;;;
142;Bank of New York Mellon;;;;
143;Barnes & Noble;;;;
144;Bath & Body Works;;;;
145;Baxter International;;;;
146;Bebo;;;;
147;BB&T Corporation;;;;
148;B/E Aerospace;;;;
149;Bealls;;;;
150;BearingPoint;;;;
151;Beazer Homes USA;;;;
152;Bechtel;;;;
153;Beckman Coulter;;;;
154;Becton Dickinson;;;;
155;Bed Bath & Beyond;;;;
156;Belk;;;;
157;Belkin;;;;
158;Bellwether Technology Corporation;;;;
159;Bemis Manufacturing Company;;;;
160;Benchmark Electronics;;;;
161;W. R. Berkley;;;;
162;Berkshire Hathaway;;;;
163;Berry Plastics;;;;
164;Best Buy;;;;
165;BFG Technologies;;;;
166;Big Lots;;;;
167;Biggby Coffee;;;;
168;Bio-Rad Laboratories;;;;
169;Biomet;;;;
170;Birdwell;;;;
171;BJ Services Company;;;;
172;BJ's Wholesale Club;;;;
173;Black & Decker;;;;
174;BlackRock;;;;
175;Blockbuster Inc.;;;;
176;BlueLinx Holdings;;;;
177;Blyth, Inc.;;;;
178;BMC Software;;;;
179;BNSF Railway;;;;
180;Bob Evans Restaurants;;;;
181;Boeing;;;;
182;Boise Cascade;;;;
183;Borders Group;;;;
184;BorgWarner;;;;
185;Bosch Brewing Company;;;;
186;Bose Corporation;;;;
187;Boston Acoustics;;;;
188;Boston Scientific;;;;
189;Boyd Gaming;;;;
190;Bradley Pharmaceuticals;;;;
191;Briggs & Stratton;;;;
192;Brightpoint;;;;
193;Brinks;;;;
194;Brinker International;;;;
195;Bristol-Myers Squibb;;;;
196;Broadcom;;;;
197;Brookdale Senior Living;;;;
198;Brown-Forman Corporation;;;;
199;Brunswick Corporation;;;;
200;Bucyrus International;;;;
201;Burger King Holdings;;;;
202;Burlington Coat Factory;;;;
203;Bushmaster Firearms International;;;;
204;Butler America;;;;
205;CA, Inc.;;;;
206;Calista Corporation;;;;
207;Calpine;;;;
208;Capital One;;;;
209;Carnival Corporation & plc;;;;
210;Carnival Cruise Lines;;;;
211;Cartoon Network Studios;;;;
212;Casco Bay Lines;;;;
213;Caterpillar Inc.;;;;
214;CBS Corporation;;;;
215;CDI Corporation;;;;
216;Cerner Corporation;;;;
217;C.H. Robinson Worldwide;;;;
218;Chem-Dry;;;;
219;Chevron;;;;
220;ChexSystems;;;;
221;Chicago Bridge & Iron Company;;;;
222;Chugach Alaska Corporation;;;;
223;Chrysler;;;;
224;CIGNA;;;;
225;Citigroup;;;;
226;Citrix;;;;
227;Cisco Systems, Inc.;;;;
228;CKE Restaurants;;;;
229;Clear Channel Communications;;;;
230;CNA;;;;
231;CNET;;;;
232;The Coca-Cola Company;;;;
233;Cogent Communications;;;;
234;Cognizant Technology Solutions;;;;
235;Cole Haan;;;;
236;Colgate-Palmolive;;;;
237;Colt Defense;;;;
238;Colt's Manufacturing Company;;;;
239;Columbia Pictures;;;;
240;Columbia Sussex;;;;
241;Comcast;;;;
242;Comodo;;;;
243;ConocoPhillips;;;;
244;Conseco;;;;
245;Continental Airlines;;;;
246;Control Data Corporation (CDC);;;;
247;Convergys Corp.;;;;
248;Converse;;;;
249;CoolTouch Monitors;;;;
250;Copeland's;;;;
251;Corning Incorporated;;;;
252;Corsair Memory;;;;
253;Costco;;;;
254;Coventry Health Care;;;;
255;Crazy Eddie;;;;
256;Crowley Maritime Corporation;;;;
257;CVS Pharmacy;;;;
258;Danaher;;;;
259;Darden Restaurants;;;;
260;DaVita;;;;
261;DC Comics;;;;
262;DC Shoes;;;;
263;Dean Foods;;;;
264;Deere & Company;;;;
265;Del Monte Foods;;;;
266;Dell, Inc.;;;;
267;Delphi;;;;
268;Delta Air Lines;;;;
269;Dereon;;;;
270;Devon Energy;;;;
271;Dex One;;;;
272;Dick's Sporting Goods;;;;
273;DiC Entertainment;;;;
274;Diebold;;;;
275;Digi-Key;;;;
276;Dillard's;;;;
277;DineEquity;;;;
278;Dippin' Dots;;;;
279;DirecTV;;;;
280;Discover Financial Services;;;;
281;Discovery Communications;;;;
282;DISH Network;;;;
283;The Walt Disney Company;;;;
284;DivX, Inc.;;;;
285;Doculabs;;;;
286;Dole Foods;;;;
287;Dollar General;;;;
288;Dollar Tree;;;;
289;Dominion Resources;;;;
290;Domtar;;;;
291;R. R. Donnelley & Sons;;;;
292;Dover Corporation;;;;
293;Dow Chemical Company;;;;
294;Dow Jones & Company;;;;
295;Dr Pepper Snapple Group;;;;
296;Dresser Inc.;;;;
297;DRS Technologies;;;;
298;DST Systems;;;;
299;DTE Energy;;;;
300;Duke Energy;;;;
301;Dun & Bradstreet;;;;
302;DuPont (E.I. du Pont de Nemours);;;;
303;DynCorp International;;;;
304;Dynegy;;;;
305;Eastman Chemical Company;;;;
306;Eastman Kodak;;;;
307;eBay;;;;
308;Ecolab;;;;
309;Eddie Bauer;;;;
310;El Paso Corp.;;;;
311;Electric Boat;;;;
312;Electronic Arts;;;;
313;Electronic Data Systems;;;;
314;Eli Lilly and Company;;;;
315;Elizabeth Arden;;;;
316;EMC Corporation;;;;
317;Emcor;;;;
318;Emerson Electric Company;;;;
319;Emerson Radio;;;;
320;Energizer Holdings;;;;
321;Energy East;;;;
322;Enterasys Networks;;;;
323;Entergy;;;;
324;Enterprise GP Holdings;;;;
325;Equifax;;;;
326;Erie Insurance Group;;;;
327;Esselte;;;;
328;Estée Lauder Companies;;;;
329;Eureka;;;;
330;Exelon Corporation;;;;
331;Expeditors International;;;;
332;Express Scripts Incorporated;;;;
333;ExxonMobil;;;;
334;Fabrik Inc.;;;;
335;facebook;;;;
336;Fairchild Semiconductor;;;;
337;FedEx;;;;
338;Fender Musical Instruments Corporation;;;;
339;Fidelity Investments;;;;
340;FileMaker Inc., formerly Claris Corp.;;;;
341;Firestone Tire and Rubber Company;;;;
342;First Hawaiian Bank;;;;
343;Fiserv;;;;
344;Fisher Electronics;;;;
345;Fisker Automotive;;;;
346;Fluor Corp;;;;
347;Ford Motor Company;;;;
348;Forum Communications;;;;
349;Fox Film Corporation;;;;
350;Frasca International;;;;
351;Fred Meyer, Inc.;;;;
352;FreeWave Technologies;;;;
353;Fresh & Easy;;;;
354;Frontier Airlines;;;;
355;Fruit of the Loom;;;;
356;Federal Home Loan Mortgage Corporation;;;;
357;Federal National Mortgage Association;;;;
358;Gap;;;;
359;Garmin;;;;
360;Gartner;;;;
361;Gateway Computers;;;;
362;Gatorade;;;;
363;GEICO;;;;
364;Gemini Sound Products;;;;
365;General Communication;;;;
366;General Dynamics;;;;
367;General Electric;;;;
368;GE Consumer & Industrial;;;;
369;General Mills;;;;
370;General Motors;;;;
371;Gentiva Health Services;;;;
372;Georgia Pacific;;;;
373;GTECH;;;;
374;Giant Food;;;;
375;Gibson Guitar Corporation;;;;
376;Gillette (brand);;;;
377;GHD Inc.;;;;
378;Global Insight;;;;
379;Go Daddy;;;;
380;Goldman Sachs;;;;
381;Goodrich Corporation;;;;
382;Goodyear Tire and Rubber Company;;;;
383;Google;;;;
384;Ground Round;;;;
385;Group O;;;;
386;Growmark;;;;
387;H&R Block;;;;
388;Hallmark Cards;;;;
389;Halliburton;;;;
390;Hardee's;;;;
391;Harley-Davidson;;;;
392;Harman International Industries;;;;
393;Hasbro;;;;
394;Hastings Entertainment;;;;
395;Hawaiian Airlines;;;;
396;H-E-B;;;;
397;The Hertz Corporation;;;;
398;Hewlett-Packard;;;;
399;Hi-Point Firearms;;;;
400;Hilton Hotels Corporation;;;;
401;H. J. Heinz Company;;;;
402;Home City Ice Co.;;;;
403;Home Depot;;;;
404;Honeywell;;;;
405;Hornbeck Offshore Services;;;;
406;Hot Topic;;;;
407;Houchens Industries;;;;
408;Houlihan's;;;;
409;Human Kinetics;;;;
410;Hunt Petroleum;;;;
411;Hyland Software;;;;
412;Ideal Industries;;;;
413;Imation;;;;
414;Informix;;;;
415;Infor;;;;
416;Intel;;;;
417;Intercontinental Manufacturing Company;;;;
418;International Business Machines (IBM);;;;
419;International Game Technology (IGT);;;;
420;International Paper;;;;
421;Interplay Entertainment;;;;
422;Interstate Batteries;;;;
423;Intuit;;;;
424;ION Media Networks;;;;
425;iRobot;;;;
426;Iron Mountain;;;;
427;i-flex Solutions;;;;
428;Jack in the Box;;;;
429;Jarden;;;;
430;JCPenney;;;;
431;JetBlue Airways;;;;
432;Jimmy John's;;;;
433;JL Audio;;;;
434;JN-International Medical Corporation;;;;
435;Jones Soda Co.;;;;
436;Johnson & Johnson;;;;
437;Johnson Controls;;;;
438;Journal Communications;;;;
439;J. P. Morgan Chase and Co.;;;;
440;J. C. Penny;;;;
441;KBR;;;;
442;KFC;;;;
443;Kellogg Company;;;;
444;Kenexa Corporation;;;;
445;Kenworth;;;;
446;Kerr-McGee;;;;
447;Kimberly-Clark;;;;
448;Kingston Technology;;;;
449;Klipsch Audio Technologies;;;;
450;Kmart;;;;
451;Koch Industries;;;;
452;KPMG;;;;
453;Kraft Foods;;;;
454;Kroger;;;;
455;Kohler Company;;;;
456;Kurzweil Educational Systems;;;;
457;Laserfiche;;;;
458;LeapFrog Enterprises;;;;
459;Lennox International;;;;
460;Lexmark;;;;
461;The Liberty Corporation;;;;
462;Limited Brands;;;;
463;LinkedIn;;;;
464;Liz Claiborne;;;;
465;Lowe's;;;;
466;Lumencraft;;;;
467;L.L.Bean;;;;
468;L&L Hawaiian Barbecue;;;;
469;Local Matters;;;;
470;Lockheed Martin;;;;
471;Louisiana Pacific;;;;
472;Lucasfilm;;;;
473;Lucas Oil;;;;
474;Magnavox;;;;
475;Marantz;;;;
476;Marathon Oil;;;;
477;Marriott Corporation;;;;
478;Mars Incorporated;;;;
479;Marsh & McLennan;;;;
480;Marshall Pottery;;;;
481;Martel Communication;;;;
482;Martha Stewart Living Omnimedia;;;;
483;Martin Marietta Materials;;;;
484;MasterCard;;;;
485;Mattel;;;;
486;Mauna Loa Macadamia Nut Corp.;;;;
487;Maxtor Corporation;;;;
488;McCormick & Company;;;;
489;McDonald's;;;;
490;MCI Inc.;;;;
491;McIlhenny Company;;;;
492;Medimix International;;;;
493;Meijer;;;;
494;Memorex;;;;
495;Merck and Company;;;;
496;Mercury Marine;;;;
497;Microsoft;;;;
498;Midway Games;;;;
499;Midwest Communications;;;;
500;Miller Brewing;;;;
501;Minnesota IMPLAN Group;;;;
502;Miro Technologies;;;;
503;Monsanto Company;;;;
504;Morgan Stanley;;;;
505;Motorola;;;;
506;Mozilla Foundation;;;;
507;MTX Audio;;;;
508;Musco Lighting;;;;
509;Mutual of Omaha;;;;
510;Myspace;;;;
511;Nabisco;;;;
512;National Railway Equipment Company;;;;
513;Nationwide Insurance;;;;
514;NBC Universal;;;;
515;NCR Corporation;;;;
516;NetApp;;;;
517;Netcordia;;;;
518;NetDNA;;;;
519;Netgear;;;;
520;NetZero;;;;
521;New Balance;;;;
522;New Era Tickets;;;;
523;News Corporation;;;;
524;Nike;;;;
525;Nordstrom;;;;
526;Northrop Grumman;;;;
527;Northwest Airlines;;;;
528;Novell;;;;
529;Novellus Systems;;;;
530;Numark (DJ equipment);;;;
531;Nvidia;;;;
532;Oberweis Dairy;;;;
533;Ocean Spray;;;;
534;OCZ Technology;;;;
535;Office Depot;;;;
536;Office Max;;;;
537;Olan Mills, Inc.;;;;
538;Omnicare;;;;
539;Omni Group;;;;
540;ONEOK;;;;
541;Onvia;;;;
542;Open Interface;;;;
543;OpenMarket Inc.;;;;
544;Oreck Corporation;;;;
545;O'Reilly;;;;
546;OPOWER;;;;
547;Oracle Corporation;;;;
548;OSI Restaurant Partners;;;;
549;Overcast Media;;;;
550;Owens Corning;;;;
551;Owens-Illinois;;;;
552;PACCAR;;;;
553;Pacific Gas & Electric Company (PG&E);;;;
554;PalmOne, Inc.;;;;
555;PalmSource, Inc.;;;;
556;Pantone;;;;
557;Papa John's Pizza;;;;
558;Paramount Pictures;;;;
559;Paxton Media Group;;;;
560;Payless ShoeSource;;;;
561;PC Power and Cooling;;;;
562;PepsiCo;;;;
563;Perdue Farms;;;;
564;Peterbilt;;;;
565;Pier 1 Imports;;;;
566;Pilgrim's Pride;;;;
567;Pinnacle Systems;;;;
568;Pizza Hut;;;;
569;Pfizer;;;;
570;Plochman's;;;;
571;Polaroid Corporation;;;;
572;Polaris Industries;;;;
573;Popeyes Chicken & Biscuits;;;;
574;Precision Castparts Corporation;;;;
575;Price Waterhouse Coopers;;;;
576;Principal Financial Group;;;;
577;Procter & Gamble;;;;
578;Progressive Corporation;;;;
579;Publix;;;;
580;QCR Holdings;;;;
581;Qpass;;;;
582;Qualcomm;;;;
583;Quanta Services;;;;
584;Quantrix;;;;
585;Quest Software;;;;
586;Quincy Newspapers;;;;
587;QVC;;;;
588;Qwest;;;;
589;Quiznos;;;;
590;RadioShack;;;;
591;Raytheon;;;;
592;Rayovac;;;;
593;RCA;;;;
594;Red Hat;;;;
595;Red River Broadcasting;;;;
596;Rent-A-Wreck;;;;
597;Renys;;;;
598;Regis Corporation;;;;
599;Respironics, Inc.;;;;
600;Rite Aid Corporation;;;;
601;Riverdeep;;;;
602;Rockford Fosgate;;;;
603;Rockstar Games;;;;
604;Rockwell Automation;;;;
605;Rockwell Collins;;;;
606;Rollins Inc.;;;;
607;Royal Caribbean International;;;;
608;Russell Investment Group;;;;
609;Russell Stovers;;;;
610;Ryder System, Inc.;;;;
611;S3 Graphics;;;;
612;Safeco Corporation;;;;
613;Safeway Inc.;;;;
614;Salary.com;;;;
615;Salem Communications;;;;
616;SanDisk;;;;
617;Sauer-Danfoss;;;;
618;SBC Communications;;;;
619;Schoep's Ice Cream;;;;
620;Science Applications International Corporation (SAIC);;;;
621;Seagate Technology;;;;
622;Sears;;;;
623;Seattle's Best Coffee;;;;
624;Service Corporation International (SCI);;;;
625;Sequoia Voting Systems;;;;
626;Shirokiya;;;;
627;Shure Incorporated;;;;
628;Six Flags;;;;
629;Silicon Graphics;;;;
630;Silicon Image;;;;
631;SkyWest Airlines;;;;
632;Snap-on Tools;;;;
633;Sonic Solutions;;;;
634;Sony Pictures Entertainment;;;;
635;Southern California Edison;;;;
636;Southwest Airlines;;;;
637;Soyo Group;;;;
638;Springfield Armory, Inc.;;;;
639;Sprint Nextel Corporation;;;;
640;Spanx;;;;
641;Spectrum Brands;;;;
642;Spherion;;;;
643;Staples, Inc.;;;;
644;Starbucks;;;;
645;Starz;;;;
646;State Street Corporation;;;;
647;Steinway & Sons;;;;
648;Sterling Ledet & Associates, Inc.;;;;
649;Sterling Commerce;;;;
650;Stewart-Warner;;;;
651;Storage Technology Corporation;;;;
652;STX;;;;
653;Subway;;;;
654;Sunny Delight Beverages;;;;
655;Sun Microsystems, Inc.;;;;
656;Sunoco;;;;
657;Supervalu;;;;
658;Sur La Table;;;;
659;Syntel;;;;
660;Symantec;;;;
661;Take-Two Interactive;;;;
662;Tanadgusix Corporation;;;;
663;Target Corporation;;;;
664;Tempur-Pedic;;;;
665;Tesla Motors;;;;
666;Tesoro;;;;
667;Testor Corporation;;;;
668;Texas Instruments;;;;
669;Textron Inc.;;;;
670;The Library Corporation (TLC);;;;
671;THQ;;;;
672;Time Warner Cable;;;;
673;Towers Perrin;;;;
674;TransDigm Group;;;;
675;Trinity Industries Inc.;;;;
676;Tropicana Products;;;;
677;Triumph Group;;;;
678;Tully's Coffee;;;;
679;Tupperware Brands Corporation;;;;
680;Twitter;;;;
681;Ubu Productions;;;;
682;Ultimate Software;;;;
683;Under Armour;;;;
684;Union Oil Company of California (Unocal);;;;
685;Union Pacific Railroad;;;;
686;Unisys;;;;
687;United Airlines;;;;
688;United Parcel Service (UPS);;;;
689;United Technologies;;;;
690;Universal Studios;;;;
691;US Airways;;;;
692;U.S. Robotics;;;;
693;UTStarcom;;;;
694;United Services Automobile Association;;;;
695;US Cellular;;;;
696;U.S. Steel;;;;
697;Uwajimaya;;;;
698;Valero Energy Corporation;;;;
699;Vantec;;;;
700;The Vanguard Group;;;;
701;Vaughan & Bushnell Manufacturing;;;;
702;VECO Corporation;;;;
703;VF Corporation;;;;
704;Lee (jeans);;;;
705;Venus Swimwear;;;;
706;Verbatim Corporation;;;;
707;Vertex Pharmaceuticals;;;;
708;Victoria's Secret;;;;
709;ViewSonic;;;;
710;VIZ Media;;;;
711;Vizio;;;;
712;Vectren;;;;
713;Verizon;;;;
714;Verizon Wireless;;;;
715;Viacom;;;;
716;Visa Inc.;;;;
717;Vivitar;;;;
718;VMware;;;;
719;Vocera Communications;;;;
720;Vulcan Corporation;;;;
721;Wahl Clipper;;;;
722;Washburn Guitars;;;;
723;Walmart;;;;
724;Walgreens;;;;
725;Walt Disney Company;;;;
726;Warner Bros. Entertainment;;;;
727;Watco Companies;;;;
728;W.C. Bradley Co.;;;;
729;The Weinstein Company;;;;
730;Welch's;;;;
731;WellPoint;;;;
732;Wells Fargo Bank, N.A.;;;;
733;Wendy's/Arby's Group;;;;
734;Werner Enterprises;;;;
735;W. R. Grace and Company;;;;
736;Westat;;;;
737;West Liberty Foods;;;;
738;Western Digital;;;;
739;Westinghouse Digital LLC;;;;
740;Whataburger;;;;
741;Wheeling-Pittsburgh Steel;;;;
742;Whirlpool Corporation;;;;
743;Winnebago Industries;;;;
744;Wizards of the Coast;;;;
745;Whole Foods Market;;;;
746;W. L. Gore & Associates;;;;
747;Gore-Tex;;;;
748;World Airways;;;;
749;World Financial Group;;;;
750;WWE;;;;
751;Wynn Resorts;;;;
752;Xerox;;;;
753;Xilinx;;;;
754;XIM, Inc.;;;;
755;XPAC;;;;
756;XPLANE;;;;
757;Yahoo!;;;;
758;YASH Technologies;;;;
759;YRC Worldwide Inc.;;;;
760;Yum! Brands, Inc.;;;;
761;Zapata;;;;
762;Zappos.com;;;;
763;Zaxby's;;;;
764;Zenith Electronics;;;;
765;ZOMM, LLC;;;;
766;Zoo York;;;;
767;Zoom Technologies;;;;
768;Zune;;;;
769;Adventure International;;;;
770;Affiliated Computer Services, acquired by Xerox in 2010;;;;
771;Aldus Corp., (merged with Adobe Systems);;;;
772;AlliedSignal, acquired Honeywell and adopted the Honeywell name.;;;;
773;American Motors Corporation (AMC);;;;
774;America West Airlines, merged with US Airways in 2005;;;;
775;AmeriCredit, acquired by General Motors in 2010.;;;;
776;Ameritech, now part of AT&T;;;;
777;Amoco, now part of BP;;;;
778;Amoskeag Manufacturing Company;;;;
779;Apollo Computer, acquired by Hewlett-Packard in 1989;;;;
780;Airborne Express;;;;
781;Arbusto Energy;;;;
782;Arco, or Atlantic Richfield Company, acquired by BP Amoco;;;;
783;Arthur Andersen;;;;
784;AT&T Wireless, acquired by Cingular;;;;
785;Avalon Hill, acquired by Hasbro;;;;
786;Bell Labs, acquired by AT&T;;;;
787;Bell Atlantic, now part of Verizon;;;;
788;Bell South, acquired by AT&T;;;;
789;Boston Manufacturing Company;;;;
790;Butler International;;;;
791;Chevron, now part of ChevronTexaco;;;;
792;Cingular, now part of AT&T;;;;
793;Coleco Inc. (Connecticut Leather Company);;;;
794;Columbia Records, now part of Sony;;;;
795;Compaq, acquired by Hewlett-Packard in 2002;;;;
796;CommWorks Corporation acquired by UTStarcom in 2003;;;;
797;Connectix Corp.;;;;
798;Conoco, now part of ConocoPhillips;;;;
799;Cray Research;;;;
800;CSK Auto, acquired by O'Reilly;;;;
801;Data Resources Inc (DRI);;;;
