ID;Occupation;Code
1;Membro do Poder Executivo (Presidente da República, Vice-Presidente da República, Ministro de Estado, Governador, Vice-Governador, Prefeito, Vice-prefeito);101
2;Membro do Poder Judiciário (Ministro, Juiz e Desembargador) e de Tribunal de Contas (Ministro e Conselheiro);102
3;Membro do Poder Legislativo (Senador, Deputado Federal, Deputado Estadual e Vereador);103
4;Membro do Ministério Público (Procurador e Promotor);104
5;Dirigente superior da administração pública (ocupante de cargo de direção, chefia, assessoria e de natureza especial), inclusive os das fundações públicas e autarquias;105
6;Diplomata e afins;106
7;Servidor das carreiras do Poder Legislativo;107
8;Servidor das carreiras do Ministério Público;108
9;Servidor das carreiras do Poder Judiciário, Oficial de Justiça, Auxiliar, Assistente e Analista Judiciário;109
10;Advogado do setor público, Procurador da Fazenda, Consultor Jurídico, Procurador de autarquias e fundações públicas, Defensor Público;110
11;Servidor das carreiras de auditoria fiscal e de fiscalização;111
12;Servidor das carreiras do Banco Central, CVM e Susep;112
13;Delegado de Polícia e outros servidores das carreiras de polícia, exceto militar;113
14;Servidor das carreiras de gestão governamental, analista, gestor e técnico de planejamento;114
15;Servidor das carreiras de ciência e tecnologia;115
16;Servidor das demais carreiras da administração pública direta, autárquica e fundacional;116
17;Titular de Cartório;117
18;irigente ou administrador de partido político, organização patronal, sindical, filantrópica e religiosa;118
19;Dirigente, presidente e diretor de empresa industrial, comercial ou prestadora de serviços;120
20;Presidente e diretor de empresa pública e sociedade de economia mista;121
21;Gerente ou supervisor de empresa industrial, comercial ou prestadora de serviços;130
22;Gerente ou supervisor de empresa pública e sociedade de economia mista;131
23;Presidente, diretor, gerente e supervisor de organização não-governamental;140
24;Matemático, estatístico, atuário e afins;211
25;Analista de sistemas, desenvolvedor de software, admin. de redes e bancos de dados e outros especialistas em informática (exceto técnicos);212
26;Físico, químico, meteorologista, geólogo, oceanógrafo e afins;213
27;Engenheiro, arquiteto e afins;214
28;Piloto de aeronaves, comandante de embarcações e oficiais de máquinas;215
29;Biólogo, biomédico e afins;221
30;Agrônomo e afins;222
31;Profissional da educação física (exceto professor);224
32;Médico;225
33;Médico, odontólogo e afins;226
34;Enfermeiro de nível superior, nutricionista, farmacêutico e afins;227
35;Veterinário, patologista (veterinário) e zootecnista;228
36;Fonoaudiólogo, fisioterapeuta, terapeuta ocupacional e afins;229
37;Advogado;241
38;Sociólogo e cientista político;250
39;Antropólogo e arqueólogo;251
40;Economista, administrador, contador, auditor e afins;252
41;Profissional de marketing, publicidade e da comercialização;253
42;Psicólogo e psicanalista;255
