ID;PartNumber;Description;Size;Status;Value
1;0102B;GLENFIDDICH SNOW PHOENIX;750 ML;T; 6.66 
2;0103B;BALVENIE 14 YR CARIBBEAN C;750 ML;T; 75.01 
3;0105B;DECO COFFEE RUM;750 ML;L; 53.32 
4;0105F;DECO COFFEE RUM;50 ML;L; 76.72 
5;0106B;THREE OLIVES DUDE VODKA;750 ML;L; 47.97 
6;0107E;STONE BARN CRANBERRY LIQUE;375 ML;T; 78.68 
7;0108B;WEBFOOT VODKA;750 ML;L; 83.52 
8;0109B;SLAPTAIL VODKA;750 ML;L; 72.87 
9;0110B;AUCHENTOSHAN 18;750 ML;S; 48.22 
10;0111B;QUINTA DE GOMEZ REPOSADO O;750 ML;S; 75.68 
11;0112B;QUINTA DE GOMEZ BLANCO ORG;750 ML;S; 95.75 
12;0113B;GLENMORANGIE 25 YR;750 ML;S; 14.94 
13;0114B;CHOPIN RYE VODKA;750 ML;L; 43.76 
14;0115B;DEATH S DOOR VODKA;750 ML;S; 24.10 
15;0116B;SKINOS MASTIHA LIQUEUR;750 ML;S; 14.70 
16;0117B;DESIREE CUPCAKE FLAVORED V;750 ML;S; 34.80 
17;0118B;DESIREE RED VELVET FLAVORE;750 ML;S; 16.46 
18;0119B;NUTLIQUOR PEANUT BUTTER;750 ML;S; 73.55 
19;0120B;IL TRAMONTO LIMONCELLO;750 ML;S; 50.48 
20;0121B;SOFT TAIL SPIRITS VODKA;750 ML;L; 41.63 
21;0121F;SOFT TAIL SPIRITS VODKA;50 ML;T; 18.88 
22;0122E;SOFT TAIL SPIRITS GIALLO G;375 ML;S; 93.07 
23;0123B;GRAN CLASSICO BITTER;750 ML;S; 34.30 
24;0124B;EMILE PERNOT VIEUX PONTARL;750 ML;S; 28.42 
25;0125B;MONTANYA ORO RUM;750 ML;S; 37.26 
26;0126B;MONTANYA PLATINO RUM;750 ML;S; 62.65 
27;0127B;CABIN FEVER MAPLE WHISKY;750 ML;L; 38.74 
28;0128E;BUFFALO TRACE EXPERIMENTAL;375 ML;S; 7.21 
29;0129B;OLD GRAND DAD B I B;750 ML;R; 0.93 
30;0130B;OLD EZRA 7 YR.101.0;750 ML;R; 80.45 
31;0131B;MONARCH BOURBON-A-BLEND;750 ML;R; 5.43 
32;0131H;MONARCH BOURBON-A-BLEND;1.75 L;R; 49.14 
33;0132B;EZRA BROOKS 90;750 ML;R; 74.56 
34;0132H;EZRA BROOKS 90;1.75 L;R; 41.31 
35;0133B;JIM BEAM BLACK LABEL;750 ML;R; 2.89 
36;0133H;JIM BEAM BLACK LABEL;1.75 L;R; 0.79 
